year,country,team_size_all,team_size_male,team_size_female,p1,p2,p3,p4,p5,p6,p7,awards_gold,awards_silver,awards_bronze,awards_honorable_mentions,leader,deputy_leader,longitude,latitude
2024,United States of America,6,5.0,1.0,42.0,41.0,19.0,40.0,35.0,15.0,,5.0,1.0,0.0,0.0,John Berman,Carl Schildkraut,-155.6065189699999,-156.5445550619999
2024,People's Republic of China,6,6.0,0.0,42.0,42.0,31.0,40.0,22.0,13.0,,5.0,1.0,0.0,0.0,Liang Xiao,Yijun Yao,,
2024,Republic of Korea,6,6.0,0.0,42.0,37.0,18.0,42.0,7.0,22.0,,2.0,4.0,0.0,0.0,Suyoung Choi,Hwajong Yoo,,
2024,India,6,6.0,0.0,42.0,34.0,11.0,42.0,28.0,10.0,,4.0,1.0,0.0,1.0,Krishnan Sivasubramanian,Rijul Saini,93.85531660200016,93.628184441
2024,Belarus,6,6.0,0.0,42.0,30.0,10.0,42.0,36.0,5.0,,4.0,0.0,2.0,0.0,David Zmiaikou,Dzmitry Bazyleu,28.148906697000115,
2024,Singapore,6,6.0,0.0,42.0,37.0,7.0,42.0,29.0,5.0,,1.0,5.0,0.0,0.0,Yong Sheng Soh,Teck Kian Teo,103.96078535200013,
2024,United Kingdom,6,6.0,0.0,42.0,33.0,8.0,42.0,31.0,6.0,,2.0,3.0,1.0,0.0,Dominic Yeo,Vesna Kadelburg,-6.287505662999905,-6.332508917999888
2024,Hungary,6,6.0,0.0,42.0,37.0,16.0,36.0,23.0,1.0,,2.0,3.0,1.0,0.0,Viktor Harangi,Sándor Dobos,20.981488891000083,
2024,Poland,6,6.0,0.0,42.0,25.0,5.0,42.0,35.0,2.0,,1.0,4.0,1.0,0.0,Tomasz Cieśla,Łukasz Bożyk,19.00212649800008,
2024,Türkiye,6,5.0,1.0,38.0,37.0,5.0,42.0,12.0,17.0,,2.0,2.0,2.0,0.0,Azer Kerimov,Ahmet İleri,,
2024,Taiwan,6,6.0,0.0,42.0,33.0,6.0,42.0,23.0,3.0,,2.0,2.0,2.0,0.0,Chu-Lan Kao,Jeng-Chung Chen,121.58765709700006,121.49610436300011
2024,Romania,6,5.0,1.0,39.0,42.0,2.0,39.0,14.0,9.0,,1.0,4.0,1.0,0.0,Cătălin Gherghe,Mihai Chiș,26.722378784000114,
2024,Bosnia and Herzegovina,6,5.0,1.0,42.0,25.0,3.0,42.0,29.0,3.0,,3.0,1.0,2.0,0.0,Adisa Bolić,Bojan Pažin,16.941528768000097,
2024,Italy,6,5.0,1.0,42.0,32.0,3.0,36.0,27.0,3.0,,1.0,3.0,2.0,0.0,Massimo Gobbino,Samuele Mongodi,12.621267123000052,12.856944207000112
2024,Japan,6,6.0,0.0,42.0,30.0,4.0,35.0,21.0,11.0,,2.0,2.0,1.0,1.0,Takuya Inoue,Sogo Murakami,141.46794681100008,153.97828209700018
2024,Israel,6,6.0,0.0,39.0,35.0,14.0,36.0,14.0,4.0,,2.0,2.0,2.0,0.0,Dan Carmon,Dmitry Novikov,35.80363326000017,
2024,Mongolia,6,6.0,0.0,42.0,37.0,0.0,42.0,19.0,2.0,,1.0,2.0,3.0,0.0,Batbayasgalan Balkhuu,Batzorig Undrakh,100.0059676520001,
2024,Hong Kong,6,6.0,0.0,42.0,37.0,4.0,42.0,10.0,5.0,,0.0,5.0,1.0,0.0,Tat Wing Leung,Cesar Jose Alaban,,
2024,Islamic Republic of Iran,6,5.0,1.0,40.0,30.0,2.0,42.0,16.0,7.0,,1.0,3.0,1.0,1.0,Navid Safaei,Roohallah Mahkam,,
