IMO,Nobel
Bulgaria,Bulgaria
Czechoslovakia,Czechoslovakia
German Democratic Republic,East Germany
Hungary,Hungary
Poland,Poland
Romania,Romania
Union of Soviet Socialist Republics,USSR
Yugoslavia,Yugoslavia
Mongolia,Mongolia
Finland,Finland
France,France
Italy,Italy
Sweden,Sweden
United Kingdom,United Kingdom
Belgium,Belgium
Netherlands,the Netherlands
Austria,Austria
Cuba,
United States of America,USA
Vietnam,Vietnam
Greece,
Algeria,French Algeria
Germany,Germany
Türkiye,Turkey
Brazil,Brazil
Israel,
Luxembourg,Luxembourg
Australia,Australia
Canada,Canada
Colombia,Colombia
Mexico,Mexico
Tunisia,French protectorate of Tunisia
Venezuela,Venezuela
Kuwait,
Morocco,Morocco
Spain,Spain
Cyprus,Cyprus
Norway,Norway
Iceland,Iceland
Islamic Republic of Iran,Iran
People's Republic of China,China
Nicaragua,
Panama,
Peru,Peru
Uruguay,
Argentina,Argentina
Ecuador,
Hong Kong,
Indonesia,
Ireland,Ireland
New Zealand,New Zealand
Philippines,Philippines
Republic of Korea,South Korea
Singapore,
India,India
Portugal,Portugal
Thailand,
Bahrain,
Democratic People's Republic of Korea,North Korea
Japan,Japan
Macau,
Denmark,Denmark
Switzerland,Switzerland
Trinidad and Tobago,Trinidad and Tobago
Armenia,
Azerbaijan,
Belarus,
Commonwealth of Independent States,Russia
Estonia,
Kazakhstan,
Latvia,
Lithuania,Lithuania
Russian Federation,Russia
South Africa,South Africa
Taiwan,Taiwan
Ukraine,Ukraine
Albania,
Bosnia and Herzegovina,Bosnia
Croatia,
Czech Republic,
Georgia,
Kyrgyzstan,
North Macedonia,
Republic of Moldova,
Slovakia,
Slovenia,
Turkish Republic of Northern Cyprus,
Turkmenistan,
Chile,Chile
Malaysia,
Sri Lanka,
Bolivia,
Guatemala,Guatemala
Paraguay,
Puerto Rico,
Uzbekistan,
Brunei,
Serbia and Montenegro,
Mozambique,
Saudi Arabia,
Bangladesh,
Costa Rica,Costa Rica
El Salvador,
Liechtenstein,
Pakistan,Pakistan
Tajikistan,
Nigeria,Nigeria
Serbia,
Cambodia,
Montenegro,
Honduras,
United Arab Emirates,
Benin,
Mauritania,
Syria,
Zimbabwe,
Ivory Coast,
Kosovo,
Uganda,
Burkina Faso,
Gambia,
Ghana,
Tanzania,
Botswana,
Egypt,Egypt
Iraq,Iraq
Jamaica,
Kenya,Kenya
Laos,
Madagascar,Madagascar
Myanmar,
Nepal,
Angola,
Dominican Republic,
Oman,
Rwanda,
Palestine,British Protectorate of Palestine
Cameroon,
Bhutan,
