IMO,WB
Bulgaria,Bulgaria
Czechoslovakia,Czechia
German Democratic Republic,Germany
Hungary,Hungary
Poland,Poland
Romania,Romania
Union of Soviet Socialist Republics,Russian Federation
Yugoslavia,Serbia
Mongolia,Mongolia
Finland,Finland
France,France
Italy,Italy
Sweden,Sweden
United Kingdom,United Kingdom
Belgium,Belgium
Netherlands,Netherlands
Austria,Austria
Cuba,Cuba
United States of America,United States
Vietnam,Viet Nam
Greece,Greece
Algeria,Algeria
Germany,Germany
Türkiye,Turkiye
Brazil,Brazil
Israel,Israel
Luxembourg,Luxembourg
Australia,Australia
Canada,Canada
Colombia,Colombia
Mexico,Mexico
Tunisia,Tunisia
Venezuela,"Venezuela, RB"
Kuwait,Kuwait
Morocco,Morocco
Spain,Spain
Cyprus,Cyprus
Norway,Norway
Iceland,Iceland
Islamic Republic of Iran,"Iran, Islamic Rep."
People's Republic of China,China
Nicaragua,Nicaragua
Panama,Panama
Peru,Peru
Uruguay,Uruguay
Argentina,Argentina
Ecuador,Ecuador
Hong Kong,"Hong Kong SAR, China"
Indonesia,Indonesia
Ireland,Ireland
New Zealand,New Zealand
Philippines,Philippines
Republic of Korea,"Korea, Rep."
Singapore,Singapore
India,India
Portugal,Portugal
Thailand,Thailand
Bahrain,Bahrain
Democratic People's Republic of Korea,"Korea, Dem. People's Rep."
Japan,Japan
Macau,"Macao SAR, China"
Denmark,Denmark
Switzerland,Switzerland
Trinidad and Tobago,Trinidad and Tobago
Armenia,Armenia
Azerbaijan,Azerbaijan
Belarus,Belarus
Commonwealth of Independent States,
Estonia,Estonia
Kazakhstan,Kazakhstan
Latvia,Latvia
Lithuania,Lithuania
Russian Federation,Russian Federation
South Africa,South Africa
Taiwan,
Ukraine,Ukraine
Albania,Albania
Bosnia and Herzegovina,Bosnia and Herzegovina
Croatia,Croatia
Czech Republic,Czechia
Georgia,Georgia
Kyrgyzstan,Kyrgyz Republic
North Macedonia,North Macedonia
Republic of Moldova,Moldova
Slovakia,Slovak Republic
Slovenia,Slovenia
Turkish Republic of Northern Cyprus,
Turkmenistan,Turkmenistan
Chile,Chile
Malaysia,Malaysia
Sri Lanka,Sri Lanka
Bolivia,Bolivia
Guatemala,Guatemala
Paraguay,Paraguay
Puerto Rico,Puerto Rico
Uzbekistan,Uzbekistan
Brunei,Brunei Darussalam
Serbia and Montenegro,Serbia
Mozambique,Mozambique
Saudi Arabia,Saudi Arabia
Bangladesh,Bangladesh
Costa Rica,Costa Rica
El Salvador,El Salvador
Liechtenstein,Liechtenstein
Pakistan,Pakistan
Tajikistan,Tajikistan
Nigeria,Nigeria
Serbia,Serbia
Cambodia,Cambodia
Montenegro,Montenegro
Honduras,Honduras
United Arab Emirates,United Arab Emirates
Benin,Benin
Mauritania,Mauritania
Syria,Syrian Arab Republic
Zimbabwe,Zimbabwe
Ivory Coast,Cote d'Ivoire
Kosovo,Kosovo
Uganda,Uganda
Burkina Faso,Burkina Faso
Gambia,"Gambia, The"
Ghana,Ghana
Tanzania,Tanzania
Botswana,Botswana
Egypt,"Egypt, Arab Rep."
Iraq,Iraq
Jamaica,Jamaica
Kenya,Kenya
Laos,Lao PDR
Madagascar,Madagascar
Myanmar,Myanmar
Nepal,Nepal
Angola,Angola
Dominican Republic,Dominican Republic
Oman,Oman
Rwanda,Rwanda
Palestine,West Bank and Gaza
Cameroon,Cameroon
Bhutan,Bhutan
