"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"A. Michael Spence","male","1943-00-00","Montclair, NJ","USA","Montclair, NJ","USA","North America","745","745","2001","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","2","1/3","2001-10-10","received","for their analyses of markets with asymmetric information",10000000,"Stanford University","Stanford University","Stanford, CA","USA","Stanford, CA","USA","North America"
"Aage N. Bohr","male","1922-06-19","Copenhagen","Denmark","Copenhagen","Denmark","Europe","102","102","1975","Physics","The Nobel Prize in Physics","1","1/3","1975-10-17","received","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection",630000,"Niels Bohr Institute","Niels Bohr Institute","Copenhagen","Denmark","Copenhagen","Denmark","Europe"
"Aaron Ciechanover","male","1947-10-01","Haifa","British Protectorate of Palestine","Haifa","Israel","Asia","779","779","2004","Chemistry","The Nobel Prize in Chemistry","1","1/3","2004-10-06","received","for the discovery of ubiquitin-mediated protein degradation",10000000,"Technion - Israel Institute of Technology","Technion - Israel Institute of Technology","Haifa","Israel","Haifa","Israel","Asia"
"Aaron Klug","male","1926-08-11","Zelvas","Lithuania","Zelvas","Lithuania","Europe","259","259","1982","Chemistry","The Nobel Prize in Chemistry","1","1","1982-10-18","received","for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes",1150000,"MRC Laboratory of Molecular Biology","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Abdulrazak Gurnah","male","1948-00-00",,,,,,"1004","1004","2021","Literature","The Nobel Prize in Literature","1","1","2021-10-07","received","for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents",10000000,,,,,,,
"Abdus Salam","male","1926-01-29","Jhang Maghi?na","India","Jhang Maghi?na","Pakistan","Asia","114","114","1979","Physics","The Nobel Prize in Physics","2","1/3","1979-10-15","received","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,"International Centre for Theoretical Physics","International Centre for Theoretical Physics","Trieste","Italy","Trieste","Italy","Europe"
"Abdus Salam","male","1926-01-29","Jhang Maghi?na","India","Jhang Maghi?na","Pakistan","Asia","114","114","1979","Physics","The Nobel Prize in Physics","2","1/3","1979-10-15","received","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,"Imperial College","Imperial College","London","United Kingdom","London","United Kingdom","Europe"
"Abhijit Banerjee","male","1961-02-21","Mumbai","India","Mumbai","India","Asia","982","982","2019","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/3","2019-10-14","received","for their experimental approach to alleviating global poverty",9000000,"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Abiy Ahmed Ali","male","1976-08-15","Beshasha","Ethiopia","Beshasha","Ethiopia","Africa","981","981","2019","Peace","The Nobel Peace Prize","1","1","2019-10-11","received","for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",9000000,,,,,,,
"Ada E. Yonath","female","1939-06-22","Jerusalem","British Mandate of Palestine","Jerusalem","Israel","Asia","843","843","2009","Chemistry","The Nobel Prize in Chemistry","3","1/3","2009-10-07","received","for studies of the structure and function of the ribosome",10000000,"Weizmann Institute of Science","Weizmann Institute of Science","Rehovot","Israel","Rehovot","Israel","Asia"
"Adam G. Riess","male","1969-12-16","Washington, D.C.","USA","Washington, D.C.","USA","North America","866","866","2011","Physics","The Nobel Prize in Physics","3","1/4","2011-10-04","received","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae",10000000,"Johns Hopkins University","Johns Hopkins University","Baltimore, MD","USA","Baltimore, MD","USA","North America"
"Adam G. Riess","male","1969-12-16","Washington, D.C.","USA","Washington, D.C.","USA","North America","866","866","2011","Physics","The Nobel Prize in Physics","3","1/4","2011-10-04","received","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae",10000000,"Space Telescope Science Institute","Space Telescope Science Institute","Baltimore, MD","USA","Baltimore, MD","USA","North America"
"Adolf Butenandt","male","1903-03-24","Bremerhaven-Lehe","Germany","Bremerhaven-Lehe","Germany","Europe","199","199","1939","Chemistry","The Nobel Prize in Chemistry","1","1/2","1939-11-09","received","for his work on sex hormones",148822,"Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie","Berlin-Dahlem","Germany","Berlin-Dahlem","Germany","Europe"
"Adolf Butenandt","male","1903-03-24","Bremerhaven-Lehe","Germany","Bremerhaven-Lehe","Germany","Europe","199","199","1939","Chemistry","The Nobel Prize in Chemistry","1","1/2","1939-11-09","received","for his work on sex hormones",148822,"Berlin University","Berlin University","Berlin","Germany","Berlin","Germany","Europe"
"Adolf von Baeyer","male","1835-10-31","Berlin","Prussia","Berlin","Germany","Europe","164","164","1905","Chemistry","The Nobel Prize in Chemistry","1","1","1905-11-09","received","in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,"Munich University","Munich University","Munich","Germany","Munich","Germany","Europe"
